rank,university,city,state,peer_assessment_score
1,Stanford University,Stanford,CA,5
2,University of California--Berkeley,Berkeley,CA,4.9
3,Harvard University,Cambridge,MA,4.7
4,University of Chicago,Chicago,IL,4.6
4,University of Pennsylvania,Philadelphia,PA,4.6
6,Carnegie Mellon University,Pittsburgh,PA,4.4
6,Duke University,Durham,NC,4.4
6,University of Michigan--Ann Arbor,Ann Arbor,MI,4.4
6,University of Washington,Seattle,WA,4.4
10,Columbia University,New York,NY,4.3
10,Yale University,New Haven,CT,4.3
12,Cornell University,Ithaca,NY,4.1
12,University of California--Davis,Davis,CA,4.1
12,University of California--Los Angeles,Los Angeles,CA,4.1
12,University of Wisconsin--Madison,Madison,WI,4.1
16,Johns Hopkins University,NA,MD,4
16,University of North Carolina--Chapel Hill,Chapel Hill,NC,4
18,North Carolina State University,Raleigh,NC,3.9
18,Pennsylvania State University,University Park,PA,3.9
18,Texas A&M University--College Station,College Station,TX,3.9
18,University of Illinois--Urbana-Champaign,Champaign,IL,3.9
22,Iowa State University,Ames,IA,3.8
22,Purdue University--West Lafayette,West Lafayette,IN,3.8
22,University of California--Irvine,Irvine,CA,3.8
22,University of Minnesota--Twin Cities,Minneapolis,MN,3.8
26,University of Texas--Austin,Austin,TX,3.7
27,Ohio State University,Columbus,OH,3.6
27,Rice University,Houston,TX,3.6
27,Rutgers University--New Brunswick,Piscataway,NJ,3.6
30,University of Florida,Gainesville,FL,3.5
31,Michigan State University,East Lansing,MI,3.4
31,Washington University in St. Louis,St. Louis,MO,3.4
33,University of California--Santa Barbara,Santa Barbara,CA,3.3
33,University of Connecticut,Storrs,CT,3.3
33,University of Iowa,Iowa City,IA,3.3
36,Florida State University,Tallahassee,FL,3.2
36,New York University,New York,NY,3.2
36,Northwestern University,Evanston,IL,3.2
36,University of California--San Diego,La Jolla,CA,3.2
36,Virginia Tech,Blacksburg,VA,3.2
41,Brown University,NA,RI,3.1
41,Colorado State University,Fort Collins,CO,3.1
41,University of California--Riverside,Riverside,CA,3.1
41,University of Georgia,Athens,GA,3.1
41,University of Pittsburgh,Pittsburgh,PA,3.1
41,University of Virginia,Charlottesville,VA,3.1
47,Boston University,NA,MA,3
47,University of California--Santa Cruz, Santa Cruz,CA,3
49,George Mason University,Fairfax,VA,2.9
49,George Washington University,Washington,DC,2.9
49,Temple University,Philadelphia,PA,2.9
49,University of Illinois--Chicago, Chicago,IL,2.9
53,University of Maryland--Baltimore County,Baltimore,MD,2.8
53,University of Massachusetts--Amherst,Amherst,MA,2.8
53,University of Missouri--Columbia,Columbia,MO,2.8
53,University of Notre Dame, Notre Dame,IN,2.8
53,University of Rochester, Rochester,NY,2.8
58,Arizona State University,Tempe,AZ,2.7
58,Clemson University, Clemson,SC,2.7
58,Indiana University--Bloomington,Bloomington,IN,2.7
58,Oregon State University,Corvallis,OR,2.7
58,University of Colorado--Boulder,Boulder,CO,2.7
58,University of South Carolina,Columbia,SC,2.7
64,Georgetown University,NA,DC,2.6
64,University of Kentucky,Lexington,KY,2.6
66,Brigham Young University-Provo,NA,UT,2.5
66,Case Western Reserve University,Cleveland,OH,2.5
66,SMU,Dallas,TX,2.5
66,University of Arizona,Tucson,AZ,2.5
66,University of Texas--Dallas, Richardson,TX,2.5
66,Wake Forest University,NA,NC,2.5
72,Baylor University,Waco,TX,2.4
72,Kansas State University,Manhattan,KS,2.4
72,Rochester Institute of Technology,NA,NY,2.4
72,University of Cincinnati,Cincinnati,OH,2.4
72,University of North Carolina--Charlotte,Charlotte,NC,2.4
72,Washington State University,Pullman ,WA,2.4
78,University of New Mexico, Albuquerque,NM,2.3
79,Amherst College,NA,MA,2.2
79,Binghamton University--SUNY,Binghamton,NY,2.2
79,Lehigh University, Bethlehem,PA,2.2
79,University of Colorado--Denver,Denver,CO,2.2
79,Virginia Commonwealth University,NA,VA,2.2
79,Worcester Polytechnic Institute, Worcester,MA,2.2
85,Miami University-Oxford,NA,OH,2.1
85,New Jersey Institute of Technology,Newark,NJ,2.1
85,Texas Tech University,NA,TX,2.1
85,University of Delaware,NA,DE,2.1
85,University of Tennessee-Knoxville,NA,TN,2.1
85,Utah State University,Logan,UT,2.1
91,Auburn University,Auburn,AL,2
91,Bowling Green State University,Bowling Green,OH,2
91,San Diego State University,NA,CA,2
91,University of Central Florida, Orlando,FL,2
91,University of Kansas Medical Center,NA,KS,2
91,University of Texas--San Antonio,San Antonio,TX,2
91,Villanova University,NA,PA,2
98,California Polytechnic State University-San Luis Obispo,NA,CA,1.9
98,Marquette University, Milwaukee,WI,1.9
98,Oklahoma State University,Stillwater,OK,1.9
98,University of Alabama,NA,AL,1.9
98,University of Nebraska,NA,NE,1.9
98,University of Vermont,NA,VT,1.9
104,American University,NA,DC,1.8
104,CUNY Bernard M Baruch College,NA,NY,1.8
104,Montana State University,Bozeman,MT,1.8
104,Old Dominion University,Norfolk,VA,1.8
104,University of Nevada--Reno, Reno,NV,1.8
104,University of New Hampshire,NA,NH,1.8
104,University of Wyoming,Laramie,WY,1.8
111,Central Michigan University,Mount Pleasant,MI,1.7
111,Michigan Technological University, Houghton,MI,1.7
111,Mount Holyoke College,NA,MA,1.7
111,Portland State University,NA,OR,1.7
111,University of Arkansas,Fayetteville,AR,1.7
111,University of Maine,NA,ME,1.7
111,University of Toledo, Toledo,OH,1.7
111,Wichita State University,NA,KS,1.7
119,Barnard College,NA,NY,1.6
119,California State University-Fullerton,NA,CA,1.6
119,Claremont Graduate University,NA,CA,1.6
119,CUNY Hunter College,NA,NY,1.6
119,Missouri S&T,NA,MO,1.6
119,North Dakota State University,Fargo,ND,1.6
119,Northern Illinois University,DeKalb,IL,1.6
119,South Dakota State University,Madison,SD,1.6
119,University of Akron,NA,OH,1.6
119,University of Idaho,NA,ID,1.6
119,University of Minnesota-Duluth,NA,MN,1.6
119,University of North Carolina--Greensboro, Greensboro,NC,1.6
119,University of South Florida,Tampa,FL,1.6
119,Western Michigan University,Kalamazoo,MI,1.6
133,Ball State University,NA,IN,1.5
133,Florida International University,NA,FL,1.5
133,Idaho State University,NA,ID,1.5
133,Kennesaw State University,NA,GA,1.5
133,Loyola University Chicago,NA,IL,1.5
133,San Jose State University,NA,CA,1.5
133,University of Northern Colorado, Greeley,CO,1.5
133,University of Northern Iowa, Cedar Falls,IA,1.5
133,University of Texas-El Paso,NA,TX,1.5
133,Wright State University,NA,OH,1.5
143,California State University-East Bay,NA,CA,1.4
143,Eastern Kentucky University,NA,KY,1.4
143,Eastern Michigan University,NA,MI,1.4
143,Minnesota State University-Mankato,NA,MN,1.4
143,Montclair State University,NA,NJ,1.4
143,Oakland University, Rochester Hills,MI,1.4
143,Southern Illinois University Carbondale,NA,IL,1.4
143,University of Central Oklahoma,NA,OK,1.4
143,University of North Florida,NA,FL,1.4
152,Appalachian State University,NA,NC,1.3
152,California State University-Long Beach,NA,CA,1.3
152,Sam Houston State University,NA,TX,1.3
