rank,university,city,state,peer_assessment_score,tier,s_j,q1_geographic_setting,q2_region,q3_airport_proximity,q4_cost_of_living,q5_dual_career,q6_typical_salary_range,q7_typical_startup,q8_guaranteed_summer,q9_typical_teaching_load,q10_course_types,q11_mentoring_program,q12_research_culture,q13_publication_venues,q14_phd_student_ratio,q15_medical_school_proximity,public_private,university_size
1,Stanford University,Stanford,CA,4.9,Tier 1,0.9750000000000001,A,West Coast,A,133914.75216,N,151743,E,B,B,A,A,D,A,3.47667852553692,1,Private,Medium
2,University of California--Berkeley,Berkeley,CA,4.8,Tier 1,0.95,A,West Coast,A,117679.01916,Y,151743,E,A,B,A,A,D,A,3.591585364839486,1,Public,Very Large
3,Harvard University,Cambridge,MA,4.6,Tier 1,0.8999999999999999,B,Northeast,A,120086.94144,N,149491.5,E,B,B,A,A,A,A,3.754535290875937,1,Private,Medium
3,University of Chicago,Chicago,IL,4.6,Tier 1,0.8999999999999999,A,Midwest,A,81548.254319999993,N,133552.5,E,B,B,A,B,A,A,3.5779465294626793,1,Public,Medium
5,Carnegie Mellon University,Pittsburgh,PA,4.4,Tier 1,0.8500000000000001,B,Northeast,A,72874.88364,N,123801,E,B,B,A,A,B,C,2.8993755692844068,0,Private,Medium
5,Columbia University,New York,NY,4.4,Tier 1,0.8500000000000001,A,Northeast,A,137874.70452,N,128062.5,E,B,B,A,A,D,E,3.599840554678627,1,Private,Medium
7,Duke University,Durham,NC,4.3,Tier 1,0.825,B,Southeast,B,78649.38792,N,121509,E,B,B,A,A,C,B,3.5066211088892367,1,Private,Medium
7,University of Michigan--Ann Arbor,Ann Arbor,MI,4.3,Tier 1,0.825,B,Midwest,B,84563.21280000001,Y,126741,E,A,B,A,A,D,A,3.507525332516094,1,Public,Very Large
7,University of Pennsylvania,Philadelphia,PA,4.3,Tier 1,0.825,A,Northeast,A,78477.67056,N,123801,E,B,B,A,B,D,A,3.348449959926745,1,Public,Medium
7,University of Washington,Seattle,WA,4.3,Tier 1,0.825,A,West Coast,A,104223.11664000001,Y,130270.5,D,B,B,A,B,C,B,3.167347422689097,1,Public,Small
