rank,university,city,state,peer_assessment_score,tier,q5_dual_career,q6_typical_salary_range,q7_typical_startup,q8_guaranteed_summer,q9_typical_teaching_load,q10_course_types,q11_mentoring_program,q12_research_culture,q13_publication_venues,q14_phd_student_ratio,q15_medical_school_proximity,department_size_faculty,department_size_phd_students,q1_geographic_setting,q2_region,q3_airport_proximity,q4_cost_of_living,has_match,public_private,n_undergrads,university_size,cost_avg,rate_admissions,locale_type,s_j
1,Stanford University,Stanford,CA,4.9,Tier 1,N,151743,E,B,B,A,A,D,A,3.47667852553692,1,NA,NA,A,West Coast,A,133914.75216,TRUE,Private,7761,Medium,10851,0.03680513675547,Suburb,1
2,University of California--Berkeley,Berkeley,CA,4.8,Tier 1,Y,151743,E,A,B,A,A,D,A,3.591585364839486,1,NA,NA,A,West Coast,A,117679.01916,TRUE,Public,32475,Very Large,17371,0.11327597906543,City,0.9705882352941175
3,Harvard University,Cambridge,MA,4.6,Tier 1,N,149491.5,E,B,B,A,A,A,A,3.754535290875937,1,NA,NA,B,Northeast,A,120086.94144,TRUE,Private,7973,Medium,19500,0.03240718054262,City,0.9117647058823527
3,University of Chicago,Chicago,IL,4.6,Tier 1,N,133552.5,E,B,B,A,B,A,A,3.5779465294626793,1,NA,NA,A,Midwest,A,81548.254319999993,TRUE,Public,7511,Medium,20531,0.05434145301423,City,0.9117647058823527
5,Carnegie Mellon University,Pittsburgh,PA,4.4,Tier 1,N,123801,E,B,B,A,A,B,C,2.8993755692844068,0,NA,NA,B,Northeast,A,72874.88364,TRUE,Private,7005,Medium,34550,0.11304398587315,City,0.8529411764705882
5,Columbia University,New York,NY,4.4,Tier 1,N,128062.5,E,B,B,A,A,D,E,3.599840554678627,1,NA,NA,A,Northeast,A,137874.70452,TRUE,Private,8902,Medium,23497,0.0394881650487,City,0.8529411764705882
7,Duke University,Durham,NC,4.3,Tier 1,N,121509,E,B,B,A,A,C,B,3.506621108889237,1,NA,NA,B,Southeast,B,78649.38792,TRUE,Private,6570,Medium,30785,0.06345969289827,City,0.8235294117647057
7,University of Michigan--Ann Arbor,Ann Arbor,MI,4.3,Tier 1,Y,126741,E,A,B,A,A,D,A,3.507525332516094,1,NA,NA,B,Midwest,B,84563.21280000001,TRUE,Public,32448,Very Large,16792,0.17693886509508,City,0.8235294117647057
7,University of Pennsylvania,Philadelphia,PA,4.3,Tier 1,N,123801,E,B,B,A,B,D,A,3.348449959926745,1,NA,NA,A,Northeast,A,78477.67056,TRUE,Public,10572,Medium,26138,0.06501428885469,City,0.8235294117647057
7,University of Washington,Seattle,WA,4.3,Tier 1,Y,130270.5,D,B,B,A,B,C,B,3.167347422689097,1,NA,NA,A,West Coast,A,104223.11664000001,TRUE,Public,4054,Small,10897,0.52004271258834,City,0.8235294117647057
11,North Carolina State University,Raleigh,NC,4.1,Tier 2,Y,105307.8,C,B,C,B,A,D,E,3.012349391447934,0,NA,NA,B,Southeast,B,82908.066,TRUE,Public,25109,Large,16563,0.47174426450742,City,0.764705882352941
11,University of North Carolina--Chapel Hill,Chapel Hill,NC,4.1,Tier 2,Y,105307.8,D,B,B,B,A,C,B,2.938798386359422,1,NA,NA,C,Southeast,B,84151.008,TRUE,Public,19921,Large,12414,0.17108322535986,City,0.764705882352941
13,Cornell University,Ithaca,NY,4,Tier 2,Y,110987.5,D,B,B,B,A,C,B,3.0421443275472604,1,NA,NA,C,Northeast,C,97221.48804,TRUE,Private,15676,Large,29651,0.07468747741888,City,0.7352941176470588
13,Texas A&M University--College Station,College Station,TX,4,Tier 2,Y,115281.40000000001,C,B,C,B,A,C,B,3.1909079971386576,1,NA,NA,C,Southwest,C,67040.75184,TRUE,Public,56792,Very Large,20257,0.6264796646861,City,0.7352941176470588
13,University of California--Davis,Davis,CA,4,Tier 2,Y,131510.6,C,B,C,B,A,C,B,3.0597611754442458,1,NA,NA,C,West Coast,B,91093.08696,TRUE,Public,31512,Very Large,15674,0.37338385384233,Suburb,0.7352941176470588
13,University of Minnesota--Twin Cities,Minneapolis,MN,4,Tier 2,Y,101907,C,B,C,B,A,D,E,3.3334890703923903,1,NA,NA,B,Midwest,A,92792.94383999999,TRUE,Public,30560,Very Large,16318,0.74814003261312,City,0.7352941176470588
13,University of Wisconsin--Madison,Madison,WI,4,Tier 2,Y,106133.3,C,B,C,B,A,D,E,3.250236819257679,1,NA,NA,B,Midwest,B,84673.32708,TRUE,Public,35184,Very Large,16834,0.49056697777925,City,0.7352941176470588
13,Yale University,New Haven,CT,4,Tier 2,N,119519.40000000001,D,B,B,B,B,C,B,2.8646323272966967,1,NA,NA,C,Northeast,B,88957.6746,TRUE,Private,6639,Medium,18535,0.04572512984418,City,0.7352941176470588
19,Iowa State University,Ames,IA,3.9,Tier 2,Y,94582.8,C,B,B,B,A,D,E,2.7418324749122034,0,NA,NA,C,Midwest,C,74376.37524000001,TRUE,Public,24994,Large,15494,0.90223094119257,City,0.7058823529411764
19,Pennsylvania State University,University Park,PA,3.9,Tier 2,Y,107294.2,C,B,C,B,A,C,B,3.4503028468320798,1,NA,NA,C,Northeast,C,82482.79956,TRUE,Public,41417,Very Large,32223,0.69702074056714,City,0.7058823529411764
19,University of California--Los Angeles,Los Angeles,CA,3.9,Tier 2,Y,131510.6,D,B,C,B,A,C,B,3.2271982029769757,1,NA,NA,A,West Coast,A,97766.38704,TRUE,Public,32423,Very Large,15637,0.08574709114091,City,0.7058823529411764
