rank,university,city,state,peer_assessment_score
1,Stanford University,Stanford,CA,4.9
2,University of California--Berkeley,Berkeley,CA,4.8
3,Harvard University,Cambridge,MA,4.6
3,University of Chicago,Chicago,IL,4.6
5,Carnegie Mellon University,Pittsburgh,PA,4.4
5,Columbia University,New York,NY,4.4
7,Duke University,Durham,NC,4.3
7,University of Michigan--Ann Arbor,Ann Arbor,MI,4.3
7,University of Pennsylvania,Philadelphia,PA,4.3
7,University of Washington,Seattle,WA,4.3
11,North Carolina State University,Raleigh,NC,4.1
11,University of North Carolina--Chapel Hill,Chapel Hill,NC,4.1
13,Cornell University,Ithaca,NY,4
13,Texas A&M University--College Station,College Station,TX,4
13,University of California--Davis,Davis,CA,4
13,University of Minnesota--Twin Cities,Minneapolis,MN,4
13,University of Wisconsin--Madison,Madison,WI,4
13,Yale University,New Haven,CT,4
19,Iowa State University,Ames,IA,3.9
19,Pennsylvania State University,University Park,PA,3.9
19,University of California--Los Angeles,Los Angeles,CA,3.9
22,Purdue University--West Lafayette,West Lafayette,IN,3.8
22,University of Illinois--Urbana-Champaign,Champaign,IL,3.8
24,Ohio State University,Columbus,OH,3.7
24,Rutgers University--New Brunswick,Piscataway,NJ,3.7
26,University of Florida,Gainesville,FL,3.6
27,University of California--Irvine,Irvine,CA,3.5
27,University of Texas--Austin,Austin,TX,3.5
29,Rice University,Houston,TX,3.4
30,Colorado State University,Fort Collins,CO,3.3
30,Florida State University,Tallahassee,FL,3.3
30,Michigan State University,East Lansing,MI,3.3
30,University of Connecticut,Storrs,CT,3.3
30,University of Iowa,Iowa City,IA,3.3
35,University of Georgia,Athens,GA,3.2
35,University of Pittsburgh,Pittsburgh,PA,3.2
37,New York University,New York,NY,3.1
37,Northwestern University,Evanston,IL,3.1
37,University of Missouri--Columbia,Columbia,MO,3.1
37,Virginia Tech,Blacksburg,VA,3.1
41,Boston University,NA,MA,3
41,George Washington University,Washington,DC,3
41,University of California--San Diego,La Jolla,CA,3
44,Temple University,Philadelphia,PA,2.9
44,University of California--Riverside,Riverside,CA,2.9
44,University of California--Santa Barbara,Santa Barbara,CA,2.9
44,University of California--Santa Cruz, Santa Cruz,CA,2.9
44,University of Virginia,Charlottesville,VA,2.9
49,Arizona State University,Tempe,AZ,2.8
49,University of Rochester, Rochester,NY,2.8
51,University of Illinois--Chicago, Chicago,IL,2.7
51,University of Massachusetts--Amherst,Amherst,MA,2.7
51,University of South Carolina,Columbia,SC,2.7
54,George Mason University,Fairfax,VA,2.6
54,Indiana University--Bloomington,Bloomington,IN,2.6
54,Oregon State University,Corvallis,OR,2.6
54,SMU,Dallas,TX,2.6
54,University of Arizona,Tucson,AZ,2.6
54,University of Maryland--Baltimore County,Baltimore,MD,2.6
54,Washington University in St. Louis,St. Louis,MO,2.6
61,Clemson University, Clemson,SC,2.5
61,University of Notre Dame, Notre Dame,IN,2.5
63,Case Western Reserve University,Cleveland,OH,2.4
63,University of Cincinnati,Cincinnati,OH,2.4
63,University of Kentucky,Lexington,KY,2.4
66,Baylor University,Waco,TX,2.3
66,Kansas State University,Manhattan,KS,2.3
66,University of Nebraska,NA,NE,2.3
66,University of Texas--Dallas, Richardson,TX,2.3
70,University of Colorado--Denver,Denver,CO,2.2
70,University of North Carolina--Charlotte,Charlotte,NC,2.2
72,Binghamton University--SUNY,Binghamton,NY,2.1
72,Bowling Green State University,Bowling Green,OH,2.1
72,Lehigh University, Bethlehem,PA,2.1
72,University of Central Florida, Orlando,FL,2.1
72,University of New Mexico, Albuquerque,NM,2.1
72,Washington State University,Pullman ,WA,2.1
72,Worcester Polytechnic Institute, Worcester,MA,2.1
79,Auburn University,Auburn,AL,2
79,University of Texas--San Antonio,San Antonio,TX,2
79,Utah State University,Logan,UT,2
82,Montana State University,Bozeman,MT,1.9
82,New Jersey Institute of Technology,Newark,NJ,1.9
82,Northern Illinois University,DeKalb,IL,1.9
82,University of Alabama,NA,AL,1.9
86,Marquette University, Milwaukee,WI,1.8
86,Oklahoma State University,Stillwater,OK,1.8
86,Portland State University,NA,OR,1.8
86,University of Arkansas,Fayetteville,AR,1.8
86,University of North Carolina--Greensboro, Greensboro,NC,1.8
86,University of South Florida,Tampa,FL,1.8
92,Central Michigan University,Mount Pleasant,MI,1.7
92,Michigan Technological University, Houghton,MI,1.7
92,Old Dominion University,Norfolk,VA,1.7
92,University of Nevada--Reno, Reno,NV,1.7
96,South Dakota State University,Madison,SD,1.6
96,University of Toledo, Toledo,OH,1.6
96,Western Michigan University,Kalamazoo,MI,1.6
99,North Dakota State University,Fargo,ND,1.5
99,Oakland University, Rochester Hills,MI,1.5
99,University of Northern Colorado, Greeley,CO,1.5
